,multiverseid,name,artist,colors,colorIdentity,layout,cmc,rarity,type,subtypes,supertypes,power,toughness,set
0,130550.0,Ancestor's Chosen,Pete Venters,[White],[W],normal,7.0,Uncommon,Creature — Human Cleric,"[Human, Cleric]",,4,4,10E
1,129465.0,Angel of Mercy,Volkan Baga,[White],[W],normal,5.0,Uncommon,Creature — Angel,[Angel],,3,3,10E
2,129711.0,Angelic Blessing,Mark Zug,[White],[W],normal,3.0,Common,Sorcery,,,,,10E
3,129710.0,Angelic Chorus,Jim Murray,[White],[W],normal,5.0,Rare,Enchantment,,,,,10E
4,129671.0,Angelic Wall,John Avon,[White],[W],normal,2.0,Common,Creature — Wall,[Wall],,0,4,10E
5,132127.0,Aura of Silence,D. Alexander Gregory,[White],[W],normal,3.0,Uncommon,Enchantment,,,,,10E
6,129470.0,Aven Cloudchaser,Justin Sweet,[White],[W],normal,4.0,Common,Creature — Bird Soldier,"[Bird, Soldier]",,2,2,10E
7,129477.0,Ballista Squad,Matthew D. Wilson,[White],[W],normal,4.0,Uncommon,Creature — Human Rebel,"[Human, Rebel]",,2,2,10E
8,132106.0,Bandage,Rebecca Guay,[White],[W],normal,1.0,Common,Instant,,,,,10E
9,130553.0,Beacon of Immortality,Rob Alexander,[White],[W],normal,6.0,Rare,Instant,,,,,10E
10,136279.0,Benalish Knight,Zoltan Boros & Gabor Szikszai,[White],[W],normal,3.0,Common,Creature — Human Knight,"[Human, Knight]",,2,2,10E
11,130554.0,"Cho-Manno, Revolutionary",Steven Belledin,[White],[W],normal,4.0,Rare,Legendary Creature — Human Rebel,"[Human, Rebel]",[Legendary],2,2,10E
12,130528.0,Condemn,Daren Bader,[White],[W],normal,1.0,Uncommon,Instant,,,,,10E
13,129524.0,Demystify,Christopher Rush,[White],[W],normal,1.0,Common,Instant,,,,,10E
14,135258.0,Field Marshal,Stephen Tappin,[White],[W],normal,3.0,Rare,Creature — Human Soldier,"[Human, Soldier]",,2,2,10E
15,132105.0,Ghost Warden,Ittoku,[White],[W],normal,2.0,Common,Creature — Spirit,[Spirit],,1,1,10E
16,129572.0,Glorious Anthem,Kev Walker,[White],[W],normal,3.0,Rare,Enchantment,,,,,10E
17,132107.0,Hail of Arrows,Anthony S. Waters,[White],[W],normal,1.0,Uncommon,Instant,,,,,10E
18,132090.0,Heart of Light,Luca Zontini,[White],[W],normal,3.0,Common,Enchantment — Aura,[Aura],,,,10E
19,132145.0,High Ground,rk post,[White],[W],normal,1.0,Uncommon,Enchantment,,,,,10E
20,129593.0,Holy Day,Volkan Baga,[White],[W],normal,1.0,Common,Instant,,,,,10E
21,129594.0,Holy Strength,Terese Nielsen,[White],[W],normal,1.0,Common,Enchantment — Aura,[Aura],,,,10E
22,129595.0,Honor Guard,Dan Dos Santos,[White],[W],normal,1.0,Common,Creature — Human Soldier,"[Human, Soldier]",,1,1,10E
23,132123.0,Icatian Priest,Stephen Tappin,[White],[W],normal,1.0,Uncommon,Creature — Human Cleric,"[Human, Cleric]",,1,1,10E
24,130551.0,Kjeldoran Royal Guard,Carl Critchlow,[White],[W],normal,5.0,Rare,Creature — Human Soldier,"[Human, Soldier]",,2,5,10E
25,129638.0,Loxodon Mystic,Randy Gallegos,[White],[W],normal,5.0,Common,Creature — Elephant Cleric,"[Elephant, Cleric]",,3,3,10E
26,129798.0,Loyal Sentry,Michael Sutfin,[White],[W],normal,1.0,Rare,Creature — Human Soldier,"[Human, Soldier]",,1,1,10E
27,129912.0,Luminesce,Daren Bader,[White],[W],normal,1.0,Uncommon,Instant,,,,,10E
28,129716.0,Mobilization,Carl Critchlow,[White],[W],normal,3.0,Rare,Enchantment,,,,,10E
29,130547.0,Nomad Mythmaker,Darrell Riche,[White],[W],normal,3.0,Rare,Creature — Human Nomad Cleric,"[Human, Nomad, Cleric]",,2,2,10E
30,129667.0,Pacifism,Robert Bliss,[White],[W],normal,2.0,Common,Enchantment — Aura,[Aura],,,,10E
31,129668.0,Paladin en-Vec,Dave Kendall,[White],[W],normal,3.0,Rare,Creature — Human Knight,"[Human, Knight]",,2,2,10E
32,135248.0,Pariah,Jon J Muth,[White],[W],normal,3.0,Rare,Enchantment — Aura,[Aura],,,,10E
33,132089.0,Reviving Dose,D. Alexander Gregory,[White],[W],normal,3.0,Common,Instant,,,,,10E
34,106384.0,Reya Dawnbringer,Matthew D. Wilson,[White],[W],normal,9.0,Rare,Legendary Creature — Angel,[Angel],[Legendary],4,6,10E
35,130552.0,Righteousness,Wayne England,[White],[W],normal,1.0,Rare,Instant,,,,,10E
36,136291.0,Rule of Law,Scott M. Fischer,[White],[W],normal,3.0,Uncommon,Enchantment,,,,,10E
37,132101.0,Samite Healer,Anson Maddocks,[White],[W],normal,2.0,Common,Creature — Human Cleric,"[Human, Cleric]",,1,1,10E
